strain,crop_path,source_image,area_px,equiv_diameter_px,circularity,mean_hue,mean_sat,mean_val,mean_B,mean_G,mean_R
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,467.0,24.38,0.864,45.9,176.2,55.4,23.5,55.4,40.5
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,209.0,16.31,0.919,42.1,177.6,65.7,27.5,65.7,50.6
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,402.0,22.62,0.876,42.2,187.2,59.7,23.0,59.7,45.6
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,1463.5,43.17,0.615,43.1,199.2,60.0,19.5,60.0,44.3
ALE,cropped_colonies\ALE\ALE(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,439.0,23.64,0.889,59.0,110.0,53.4,34.0,53.4,35.5
ALE,cropped_colonies\ALE\ALE(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,181.0,15.18,0.887,55.2,93.1,61.4,40.2,61.4,44.4
ALE,cropped_colonies\ALE\ALE(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,373.5,21.81,0.872,57.8,95.1,59.8,40.0,59.8,42.7
ALE,cropped_colonies\ALE\ALE(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,1417.5,42.48,0.612,55.3,104.0,60.8,38.2,60.8,44.1
ALE,cropped_colonies\ALE\ALE(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,40.0,7.14,0.838,56.9,126.1,43.6,25.1,43.6,27.4
ALE,cropped_colonies\ALE\ALE(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,82.5,10.25,0.921,64.8,125.5,40.4,26.3,40.4,23.7
