strain,crop_path,source_image,x,y,w,h,area,circularity,solidity
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,1073,650,26,24,446.5,0.873,0.973
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,1095,615,17,17,204.0,0.897,0.976
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,1019,565,23,23,386.5,0.874,0.972
ALE,cropped_colonies\ALE\ALE(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,1043,339,50,52,1415.5,0.623,0.889
ALE,cropped_colonies\ALE\ALE(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,970,641,24,23,415.5,0.892,0.979
ALE,cropped_colonies\ALE\ALE(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,950,608,15,16,173.0,0.877,0.972
ALE,cropped_colonies\ALE\ALE(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,1013,545,22,23,357.5,0.882,0.97
ALE,cropped_colonies\ALE\ALE(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,924,323,53,48,1358.5,0.582,0.871
ALE,cropped_colonies\ALE\ALE(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,1285,761,7,7,32.0,0.857,0.985
ALE,cropped_colonies\ALE\ALE(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,1416,759,10,10,68.5,0.912,0.986
ALE,cropped_colonies\ALE\ALE(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,1380,715,10,10,68.0,0.871,0.971
ALE,cropped_colonies\ALE\ALE(앞)-2__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,1414,709,10,10,65.0,0.833,0.956
ALE,cropped_colonies\ALE\ALE(앞)-2__colony05.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,1349,604,11,12,86.0,0.712,0.915
ALE,cropped_colonies\ALE\ALE(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,1313,759,10,10,64.0,0.82,0.941
ALE,cropped_colonies\ALE\ALE(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,876,365,8,7,34.5,0.904,0.986
HMF,cropped_colonies\HMF\HMF(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,1440,704,22,21,339.0,0.892,0.977
HMF,cropped_colonies\HMF\HMF(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,932,264,16,16,180.5,0.865,0.968
HMF,cropped_colonies\HMF\HMF(뒤)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-2.jpg,795,240,16,10,96.0,0.679,0.906
HMF,cropped_colonies\HMF\HMF(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,1068,244,17,16,199.5,0.885,0.976
HMF,cropped_colonies\HMF\HMF(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,982,221,22,21,354.0,0.901,0.983
HMF,cropped_colonies\HMF\HMF(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,1413,537,8,8,41.5,0.913,0.988
HMF,cropped_colonies\HMF\HMF(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,1095,286,23,25,404.0,0.861,0.967
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,456,666,7,7,34.0,0.911,1.0
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,515,609,29,30,632.5,0.909,0.986
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,1008,446,29,29,638.0,0.899,0.981
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,884,445,29,30,661.0,0.893,0.983
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,904,408,7,7,30.5,0.863,0.968
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,994,379,33,35,859.0,0.878,0.981
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,650,344,43,62,1880.0,0.788,0.972
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,774,322,31,34,764.0,0.872,0.977
HS19,cropped_colonies\HS19\HS19(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-3.jpg,1061,1180,9,6,28.5,0.673,0.934
HS19,cropped_colonies\HS19\HS19(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1446,657,30,31,682.5,0.902,0.981
HS19,cropped_colonies\HS19\HS19(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,904,480,29,31,669.0,0.889,0.981
HS19,cropped_colonies\HS19\HS19(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1072,472,31,31,718.5,0.891,0.981
HS19,cropped_colonies\HS19\HS19(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,944,467,31,30,673.5,0.89,0.978
HS19,cropped_colonies\HS19\HS19(앞)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1077,432,7,8,34.5,0.904,0.986
HS19,cropped_colonies\HS19\HS19(앞)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,957,398,34,37,917.0,0.878,0.978
HS19,cropped_colonies\HS19\HS19(앞)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1304,377,43,64,1992.5,0.792,0.972
HS19,cropped_colonies\HS19\HS19(앞)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1189,349,32,35,816.5,0.874,0.978
HS19,cropped_colonies\HS19\HS19(앞)-1__colony09.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1180,280,41,40,1281.5,0.897,0.983
HS19,cropped_colonies\HS19\HS19(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,985,497,9,10,55.0,0.804,0.932
HS19,cropped_colonies\HS19\HS19(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,1249,433,9,8,46.5,0.871,0.969
HS19,cropped_colonies\HS19\HS19(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,1264,670,11,10,70.0,0.793,0.933
HS19,cropped_colonies\HS19\HS19(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,1375,593,16,15,167.5,0.869,0.971
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,624,860,27,28,556.0,0.87,0.972
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,638,785,25,27,486.5,0.863,0.968
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,846,560,32,34,779.0,0.876,0.978
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,974,440,32,31,753.5,0.898,0.983
HS2,cropped_colonies\HS2\HS2(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,803,610,10,11,72.5,0.915,0.986
HS2,cropped_colonies\HS2\HS2(뒤)-3__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,813,516,10,11,82.5,0.902,0.994
HS2,cropped_colonies\HS2\HS2(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,1377,842,29,30,642.5,0.901,0.98
HS2,cropped_colonies\HS2\HS2(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,1373,764,27,28,547.0,0.879,0.972
HS2,cropped_colonies\HS2\HS2(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,1055,374,33,32,777.0,0.887,0.98
