strain,plate_group,crop_path,source_image,equiv_diameter,circularity,solidity,mean_hue,mean_sat,mean_val,std_hue,std_sat,std_val,texture_std
ALE,ALE_plate1,cropped_colonies\ALE\ALE(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,24.384,0.864,0.969,45.909,176.181,55.419,6.712,56.404,34.377,33.714
ALE,ALE_plate1,cropped_colonies\ALE\ALE(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,16.313,0.919,0.986,42.137,177.597,65.725,1.853,62.515,33.112,33.003
ALE,ALE_plate1,cropped_colonies\ALE\ALE(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,22.624,0.876,0.971,42.158,187.186,59.658,2.862,59.774,34.009,33.541
ALE,ALE_plate1,cropped_colonies\ALE\ALE(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(뒤)-1.jpg,43.167,0.615,0.884,43.124,199.187,59.95,5.288,56.805,36.757,36.109
ALE,ALE_plate1,cropped_colonies\ALE\ALE(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,23.642,0.889,0.98,59.008,109.994,53.392,10.033,22.229,16.703,16.444
ALE,ALE_plate1,cropped_colonies\ALE\ALE(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,15.181,0.887,0.968,55.162,93.083,61.382,6.636,14.16,13.224,13.113
ALE,ALE_plate1,cropped_colonies\ALE\ALE(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,21.807,0.872,0.97,57.776,95.135,59.786,10.056,13.754,14.788,14.58
ALE,ALE_plate1,cropped_colonies\ALE\ALE(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-1.jpg,42.483,0.612,0.886,55.31,103.991,60.775,10.532,21.245,19.5,19.024
ALE,ALE_plate2,cropped_colonies\ALE\ALE(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,7.136,0.838,0.952,56.865,126.096,43.596,4.498,47.433,15.834,15.902
ALE,ALE_plate2,cropped_colonies\ALE\ALE(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,10.249,0.921,0.988,64.837,125.469,40.449,7.243,48.067,14.865,15.017
ALE,ALE_plate2,cropped_colonies\ALE\ALE(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,10.124,0.898,0.976,61.031,126.427,43.729,5.711,54.672,15.777,16.035
ALE,ALE_plate2,cropped_colonies\ALE\ALE(앞)-2__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,9.772,0.809,0.938,65.11,130.165,36.78,6.019,42.916,12.628,12.822
ALE,ALE_plate2,cropped_colonies\ALE\ALE(앞)-2__colony05.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,12.074,0.882,0.966,62.511,137.82,37.496,5.402,52.537,15.376,15.306
ALE,ALE_plate3,cropped_colonies\ALE\ALE(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,10.794,0.78,0.915,72.284,115.89,60.101,4.677,28.547,18.682,18.674
ALE,ALE_plate3,cropped_colonies\ALE\ALE(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,7.569,0.882,0.968,73.509,120.246,66.386,3.756,32.277,21.717,21.964
HMF,HMF_plate1,cropped_colonies\HMF\HMF(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,20.959,0.908,0.983,58.165,115.399,45.694,8.11,33.195,17.288,16.523
HMF,HMF_plate1,cropped_colonies\HMF\HMF(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,15.244,0.916,0.984,59.205,135.454,37.151,6.236,44.672,15.976,15.147
HMF,HMF_plate2,cropped_colonies\HMF\HMF(뒤)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-2.jpg,12.54,0.748,0.95,65.503,153.166,38.641,7.139,66.055,21.505,21.307
HMF,HMF_plate1,cropped_colonies\HMF\HMF(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,16.603,0.808,0.943,51.255,153.588,41.761,7.722,50.7,18.959,18.5
HMF,HMF_plate1,cropped_colonies\HMF\HMF(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,21.924,0.862,0.963,52.437,151.829,42.578,9.952,47.216,23.636,22.955
